Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
VPH,2018-12-14T06:02:44.000Z,2018-12-14T06:03:57.237Z,2018-12-14T11:00:00.000Z,585fbd06-d173-4b71-a764-328092ed2002,160,P1-0555,2018-12-14 06:03:57.237
VPH,2018-12-14T06:02:44.000Z,2018-12-14T06:03:55.343Z,2018-12-14T10:21:00.000Z,ecbf325c-630d-47ce-a0ed-890cb893a23c,67,P4-0123,2018-12-14 06:03:55.343
VPH,2018-12-14T06:03:33.000Z,2018-12-14T06:03:46.797Z,2018-12-14T09:00:00.000Z,c0fe30b5-7c2d-42a0-a377-08aedc6b9629,80,P2-0202,2018-12-14 06:03:46.797
VPH,2018-12-14T06:02:37.000Z,2018-12-14T06:03:44.953Z,2018-12-14T08:12:00.000Z,10edf959-8afe-4174-acb6-a40692b864a6,48,P2-0236,2018-12-14 06:03:44.953
PARKMACHINE,2018-12-14T06:03:25.177Z,2018-12-14T06:03:43.690Z,2018-12-14T10:00:00.000Z,dc9d6a9a-cb41-4001-8191-48551d8692e7,30,P5-2114,2018-12-14 06:03:43.69
VPH,2018-12-14T06:02:44.000Z,2018-12-14T06:03:43.220Z,2018-12-14T12:00:00.000Z,51410292-f632-45ab-b85d-508645394ead,50,P4-1940,2018-12-14 06:03:43.22
VPH,2018-12-14T06:02:52.000Z,2018-12-14T06:03:35.453Z,2018-12-14T07:20:00.000Z,6ff07080-31ec-4d0b-bf14-7976e7796e63,10,P3-0349,2018-12-14 06:03:35.453
VPH,2018-12-14T06:01:26.000Z,2018-12-14T06:03:34.533Z,2018-12-14T13:37:30.000Z,9403e678-d0e3-4d5b-b971-385c14a0a452,265,P7-0070,2018-12-14 06:03:34.533
VPH,2018-12-14T06:01:51.000Z,2018-12-14T06:03:01.377Z,2018-12-14T11:45:00.000Z,6672bc37-91f5-4e1d-ad96-c4b63df5169c,95,P6-1177,2018-12-14 06:03:01.377
VPH,2018-12-14T06:02:15.000Z,2018-12-14T06:03:00.737Z,2018-12-14T08:00:00.000Z,05d747c4-ba91-443e-bc76-3dc6a1131ac9,10,P6-1465,2018-12-14 06:03:00.737
